sentiments,cleaned_review,cleaned_review_length,review_score
positive,great sound and great battery life we listen to this on our patio and couldn be happier with it my year old son keeps taking it so think we will have to get him one for christmas ,37,5.0
positive,fantastic sound quality and simple to operate it fantastic audio experience in package not much bigger than bottle of water ,20,5.0
positive,the best stuff ever the sound is lush and clear ,10,5.0
neutral,great product but bring charger the battery only really lasts for or so hours,14,1.0
positive,got for my husband he loves it,7,5.0
neutral,like the sound and delivery of music ,7,5.0
neutral,it does not bring the wall charger as the charge did minimum cost for manufacturer but big problem for the consumer hope they are not trying to put quality down in all components as well ,35,5.0
positive,great sound quality and easy to transport ,7,1.0
positive,this device does play in stereo ve seen several reviews say that it doesn but can verify you will hear the various channels in the music you won regret getting this just be very gentle with the cable that charges it and the plug ins don power jam the buttons it doesn require an ape like approach to use this speaker when you press the power button there delay lightly press and listen feel for the button to click then just wait few seconds it will come to life battery life is awesome use it every day at the office for hours and charge it maybe twice week good product yes it stereo anyone who says otherwise doesn have the ears and intelligence to know what stereo really is ,129,5.0
positive,well rounded speaker very good,5,4.0
positive,best speaker out there battery life lasts forever and the sound is amazing ,13,5.0
neutral,was when purchased it now glad took it early ,9,5.0
positive,love the sound portability and the look of the speaker good value for the money ,15,4.0
positive,great speaker sounds amazing my only gripe is the volume every time go up or down there is pretty big difference ,21,5.0
positive,best speaker have ever had,5,5.0
positive,very loud and has fun features ,6,5.0
neutral,sounds great but not for the outdoor construction workers ,9,5.0
